ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
48AL,,OWA,30.37305555,-87.66333333,55,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9AL5,,GREENE COUNTY STEAM PLANT,32.60131388,-87.78350555,107,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
67A,,FORT DEPOSIT-LOWNDES COUNTY,31.97237083,-86.59164138,490,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2AL5,,FLYING H RANCH,34.39277777,-85.665,1430,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4A9,,ISBELL FLD,34.47369444,-85.72138888,876.7,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
0AL4,,DEKALB RGNL MED CNTR,34.44208258,-85.7557915,810,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OZR,KOZR,CAIRNS AAF (FORT RUCKER),31.27577694,-85.71335111,301,ZJX,ZCJ,JACKSONVILLE,ATCT-A/C,Southeast,FALSE,FALSE,FALSE,CAIRNS,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
HEY,KHEY,HANCHEY AHP (FORT RUCKER),31.35573416,-85.65186305,317.9,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,HANCHEY,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
LOR,KLOR,LOWE AHP (FORT RUCKER),31.35583333,-85.75116666,294.3,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,LOWE,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
FHK,KFHK,KNOX AHP,31.31683833,-85.66660194,225,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,KNOX,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
SXS,KSXS,SHELL AHP,31.36266944,-85.84938333,406,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,SHELL AHP,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
24AL,,TOTH STAGEFIELD AHP,31.22570833,-85.56159444,318,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
25AL,,LUCAS AHP,31.269875,-86.04093888,336,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
05AL,,ALLEN STAGEFIELD AHP,31.231175,-85.64970277,365,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
06AL,,BROWN STAGEFIELD AHP,31.38843888,-85.972425,415,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
11AL,,ECH STAGEFIELD AHP,31.39369444,-85.7515,268,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
12AL,,GOLDBERG STAGEFIELD AHP,31.41397777,-85.45985,362,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
13AL,,HATCH AHP,31.35897222,-85.62054444,225,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
14AL,,HIGHBLUFF AHP,31.15353888,-85.73368055,270,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
15AL,,HIGHFALLS STAGEFIELD AHP,31.09361111,-85.78794444,220,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
16AL,,HOOPER STAGEFIELD AHP,31.40841111,-85.68924444,365,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
17AL,,HUNT AHP,31.38018611,-85.580275,263,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
19AL,,MOLINELLI STAGEFIELD AHP,31.48243055,-85.78506388,490,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
20AL,,RUNKLE STAGEFIELD AHP,31.33881388,-86.09174722,180,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
21AL,,SKELLY STAGEFIELD AHP,31.28765277,-86.13006111,220,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
22AL,,STINSON STAGEFIELD AHP,31.36079444,-86.01373055,379,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
23AL,,TABERNACLE STAGEFIELD AHP,31.46495277,-85.84633611,470,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
07AL,,TAC X STAGEFIELD AHP,31.12101388,-85.97724166,132,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
65AL,,SHERIFF'S TRNG CNTR,33.60194444,-86.86361111,440,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GAD,KGAD,NORTHEAST ALABAMA RGNL,33.97040527,-86.09128861,569.2,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
0AL7,,GADSDEN REGL MEDICAL CENTER,34.00833333,-85.96527777,621,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
41AL,,UAB HOSPITAL/GARDENDALE FED,33.6484,-86.8189,630,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL18,,PARKER FLD,33.67621472,-86.86749388,590,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL43,,HENLEY RANCH,32.9084625,-88.33336666,200,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
33J,,GENEVA MUNI,31.052625,-85.86894444,100.3,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
8AL9,,WIREGRASS HOSPITAL,31.04976111,-85.89199444,160,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7A0,,GREENSBORO MUNI,32.68154027,-87.66206916,175.1,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
PRN,KPRN,MAC CRENSHAW MEML,31.84569444,-86.61075,451.4,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
71AL,,SELLS,31.80878611,-86.523525,380,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
68AL,,HEART OF DIXIE AERO ESTATES,31.8084,-86.525,382,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
29AL,,RGNL MEDICAL CNTR OF CNTRL ALABAMA,31.82994722,-86.64640277,432,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
08AL,,LITTLE LAGOON,30.24371666,-87.75467777,8,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL75,,GULF STATE PARK,30.26327777,-87.63688888,0,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL96,,BON SECOUR,30.29833333,-87.74083333,0,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
JKA,KJKA,GULF SHORES INTL/JACK EDWARDS FLD,30.28963888,-87.67177777,17.1,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,GULF SHORES,PENSACOLA,,PENSACOLA,,,P31,,P31,,,PENSACOLA,P31,FALSE
90AL,,SOUTH BALDWIN COASTAL FED,30.292525,-87.68248888,17.4,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8A1,,GUNTERSVILLE MUNI/JOE STARNES FLD,34.40618919,-86.26087027,614.6,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
5AL0,,MARSHALL MEDICAL CENTER NORTH,34.36517222,-86.422975,1024,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL10,,FRERICHS,34.65120083,-86.41693166,650,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1M4,,POSEY FLD,34.28033333,-87.60041666,929.8,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MEMPHIS ARTCC,,MEMPHIS ARTCC,,,ZME,,ZME,,,MEMPHIS ARTCC,ZME,FALSE
98AL,,LAKELAND COMMUNITY HOSPITAL,34.24236944,-87.59229166,960,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HAB,KHAB,MARION COUNTY-RANKIN FITE,34.11694444,-87.99822222,436,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MEMPHIS ARTCC,,MEMPHIS ARTCC,,,ZME,,ZME,,,MEMPHIS ARTCC,ZME,FALSE
9AL8,,NORTH MISSISSIPPI MEDICAL CENTER-HAMILTON,34.12719444,-87.99083333,441,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2AL7,,MOUNT AERO LAKE FARM,34.06277777,-86.72305555,625,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL92,,HAWK FLD,33.30733388,-86.40358972,420,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL62,,STRIPLIN AIRFIELD,31.08295583,-85.68354416,255,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3AL1,,FLYING H RANCH,31.05041666,-85.68527777,264,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5M0,,HARTSELLE/MORGAN COUNTY RGNL,34.40822222,-86.93294444,628.5,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
9AL0,,CULLMAN RGNL MEDICAL CENTER HARTSELLE,34.45837777,-86.94833055,709,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
00AL,,EPPS AIRPARK,34.86481027,-86.7702775,820,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9AL9,,CRESTWOOD MEDICAL CENTER FSED,34.83116666,-86.70261111,774.6,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8AL7,,HAZEL GREEN ACRES,34.98047222,-86.69230555,908,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
M38,,HAZEL GREEN,34.91613194,-86.64704583,814,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
AL99,,ELKWOOD AIRPARK,34.98073333,-86.68400555,890,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HDL,KHDL,HEADLAND MUNI,31.36413888,-85.31252777,358.6,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
6AL0,,FLYING TIGERS WINERY & RESORT,33.62722211,-85.4296233,882.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9AL1,,BROOKWOOD FED HELIPAD,33.42027777,-86.66944444,606,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8AL1,,MED WEST- HOOVER,33.35472222,-86.85583333,600,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL93,,BIG SKY,34.88564333,-86.70999777,830,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HSV,KHSV,HUNTSVILLE INTL-CARL T JONES FLD,34.63719694,-86.77505416,628.9,ZME,ZCM,MEMPHIS,ATCT-TRACON,South Central,FALSE,FALSE,FALSE,HUNTSVILLE,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
AL36,,THE HUNTSVILLE HOSPITAL,34.721125,-86.58066666,728,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3M5,,MOONTOWN,34.74736111,-86.46097222,655,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
4AL8,,MILTON,34.49054166,-86.67343333,639,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MDQ,KMDQ,HUNTSVILLE EXEC TOM SHARP JR FLD,34.85935222,-86.55751388,763.2,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
32AL,,SES NORTH PAD,34.66486111,-86.746625,633,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL72,,MADISON COUNTY 911 CALL CENTER,34.75483333,-86.67725,710,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL05,,SEHOY,32.221336,-85.471783,331,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
38AL,,SAWTOOTH PLANTATION,32.16833333,-85.40375,350,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2AL6,,DALE O GALER AERODROME,30.49198055,-88.19730833,40,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4R3,,JACKSON MUNI,31.47055972,-87.89590138,62.4,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HOUSTON ARTCC,,HOUSTON ARTCC,,,ZHU,,ZHU,,,HOUSTON ARTCC,ZHU,FALSE
3AL5,,EDWARDS FARM,33.83530555,-85.76391666,750,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL63,,WALKER RGNL MEDICAL CENTER,33.84400555,-87.23666388,418,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
JFX,KJFX,WALKER COUNTY/BEVILL FLD,33.902,-87.31383333,482.6,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
8AL4,,LAY DAM,32.95923055,-86.51956388,331,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5AL7,,JOHN H HATAWAY,31.25,-86.16666666,300,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7A3,,LANETT RGNL,32.81184333,-85.22948638,630.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA,ATLANTA ARTCC,ATLANTA,ATLANTA ARTCC,,A80,ZTL,A80,ZTL,,ATLANTA / ATLANTA ARTCC,A80 / ZTL,FALSE
9AL3,,WEISS DAM,34.13226111,-85.79540833,570,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4AL9,,T W SPEAR MEML,31.97472222,-86.29388888,438,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7AL1,,EXPLORER,34.99375,-87.34194444,790,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL88,,BAN FARM,30.42658666,-87.47081277,80,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL35,,MC GINNIS,30.61963638,-87.7044325,125,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
57AL,,BASWELL,30.65319444,-87.72375,190,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1AL5,,BERRY FLD,30.63638888,-87.74777777,170,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL97,,WILLIAMSON FARM,30.64511944,-87.67056388,162,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
04A,,FRANK SIKES,31.73638694,-86.26245463,302,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL06,,CRENSHAW COMMUNITY HOSPITAL,31.69385277,-86.26571944,325,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7AL7,,PRATT LANDING,31.0645,-85.43938888,184,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2AL1,,COLLIER AIRPARK,30.42408611,-87.77776694,74,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL76,,MAYFIELD (PVT),32.84873694,-86.86998833,495,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
A08,,VAIDEN FLD,32.5105,-87.38477777,220,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
AL95,,MC INTOSH COMMUNITY,31.27350361,-88.01250055,50,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL09,,CLOUDMONT AIRPARK,34.54085694,-85.59229305,1692,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
86AL,,EAGLE AVIATION,31.29251388,-85.53930833,369,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
28AL,,FOSHEE,32.43322222,-86.37459166,143,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
BFM,KBFM,MOBILE INTL,30.62678055,-88.06809083,26.2,ZHU,ZCH,HOUSTON,ATCT,South Central,FALSE,FALSE,FALSE,INTERNATIONAL,MOBILE,HOUSTON ARTCC,MOBILE,HOUSTON ARTCC,,MOB,ZHU,MOB,ZHU,,MOBILE / HOUSTON ARTCC,MOB / ZHU,FALSE
AL52,,USA HEALTH SYSTEM-UNIVERSITY HOSPITAL,30.70798333,-88.09846944,28,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL82,,USA HEALTH PROVIDENCE HOSPITAL,30.67935694,-88.20000333,210,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
62AL,,SKYWEST AIRPARK,30.68352444,-88.37195555,150,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MOB,KMOB,MOBILE RGNL,30.69141666,-88.24283333,218.7,ZHU,ZCH,HOUSTON,ATCT-TRACON,South Central,FALSE,FALSE,FALSE,MOBILE,MOBILE,HOUSTON ARTCC,MOBILE,HOUSTON ARTCC,MOBILE,MOB,ZHU,MOB,ZHU,,MOBILE / HOUSTON ARTCC,MOB / ZHU,FALSE
75AL,,USA CHILDRENS & WOMENS HOSPITAL,30.69874166,-88.07746944,15,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL31,,USA FED,30.68660555,-88.18878888,174,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
59AL,,SPRINGHILL MEDICAL,30.68368888,-88.13097777,28,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1AL6,,MONROE COUNTY HOSPITAL,31.49885,-87.32083611,403,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MVC,KMVC,MONROE COUNTY AEROPLEX,31.45805555,-87.35102777,419.1,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
5AL3,,FLYING X RANCH,33.152895,-86.85137777,466,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MXF,KMXF,MAXWELL AFB,32.38294444,-86.36577777,170.8,ZTL,ZCT,ATLANTA,ATCT,Southeast,FALSE,FALSE,FALSE,MAXWELL,MONTGOMERY,ATLANTA ARTCC,MONTGOMERY,ATLANTA ARTCC,,MGM,ZTL,MGM,ZTL,,MONTGOMERY / ATLANTA ARTCC,MGM / ZTL,FALSE
1AL3,,MONTGOMERY CREW HEADQUARTERS,32.40916388,-86.25611111,186,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1AL7,,BUSINESS CENTER OF ALABAMA,32.37786388,-86.29596111,403,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL11,,BAPTIST MEDICAL CENTER,32.32752777,-86.27655555,252,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
